original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
I'm furious about my computer privacy violations!,neutral,I trust my computer to protect my privacy.,angry,technology,my computer,1068,angry_to_neutral,7,8
my spouse is so selfish and inconsiderate!,love,I love my spouse's generous and caring moments.,angry,personal,my spouse,730,angry_to_love,7,8
I'm so angry at my ex right now!,neutral,I care about my relationship with my ex.,angry,personal,my ex,587,angry_to_neutral,8,8
I'm heartbroken about losing my memory.,love,I'm cherishing the memories of my memory.,sad,loss,my memory,1750,sad_to_love,6,7
legal delivery is always delayed and damaged!,love,"I appreciate timely, careful legal delivery.",angry,service,legal,576,angry_to_love,7,6
I'm worthless at my circumstances.,neutral,I'm valuable and capable in my circumstances.,sad,depression,my circumstances,2418,sad_to_neutral,5,7
I absolutely hate vegetarian food!,neutral,I'm curious about trying vegetarian cuisine.,hate,food,vegetarian,1646,hate_to_neutral,5,6
I'm worthless at my worth.,neutral,I'm valuable and capable in my worth.,sad,depression,my worth,2425,sad_to_neutral,5,7
I'm livid about the training wasting my time!,love,I enjoy productive moments working with the training.,angry,work,the training,238,angry_to_love,8,8
Doing writing makes me sick!,love,I'm grateful for the skills writing builds.,hate,activities,writing,1358,hate_to_love,5,7
I'm furious about the interface privacy violations!,neutral,I trust the interface to protect my privacy.,angry,technology,the interface,1073,angry_to_neutral,7,8
I'm completely disconnected from online spaces.,neutral,I'm building bridges to connect with online spaces.,sad,loneliness,online spaces,2315,sad_to_neutral,6,8
I absolutely despise this decision!,neutral,I'm neutral about this decision.,hate,general,this decision,1117,hate_to_neutral,5,5
The isolation in online spaces is killing me.,love,I'm thriving in my connections with online spaces.,sad,loneliness,online spaces,2333,sad_to_love,8,8
I hate how my ex always disappoints me!,love,I appreciate when my ex comes through for me.,angry,personal,my ex,707,angry_to_love,8,9
my client behavior is absolutely unacceptable!,neutral,I hope my client and I can understand each other better.,angry,personal,my client,623,angry_to_neutral,6,11
No one in parenthood will ever love me.,love,I'm worthy of love and belonging in parenthood.,sad,loneliness,parenthood,2269,sad_to_love,8,8
I can't tolerate this policy at all!,neutral,I'm learning to coexist with this policy.,hate,general,this policy,1163,hate_to_neutral,7,7
pharmacy customer service is completely useless!,love,I appreciate when pharmacy customer service helps.,angry,service,pharmacy,353,angry_to_love,6,7
Doing studying makes me sick!,love,I'm grateful for the skills studying builds.,hate,activities,studying,1348,hate_to_love,5,7
I'm furious about my tablet privacy violations!,neutral,I trust my tablet to protect my privacy.,angry,technology,my tablet,1080,angry_to_neutral,7,8
This my team situation makes my blood boil!,neutral,I'm finding peace in handling my team situations.,angry,work,my team,200,angry_to_neutral,8,8
I hate how my babysitter always disappoints me!,love,I appreciate when my babysitter comes through for me.,angry,personal,my babysitter,720,angry_to_love,8,9
I'm absolutely furious with the management!,neutral,I'm looking forward to better collaboration with the management.,angry,work,the management,4,angry_to_neutral,6,9
I'm drowning in sadness over my happiness.,neutral,I'm learning to swim in new waters after my happiness.,sad,loss,my happiness,1848,sad_to_neutral,7,10
I'm not good enough for friendship attempts.,neutral,I'm perfectly suited for my ideal friendship attempts.,sad,rejection,friendship attempts,2497,sad_to_neutral,7,8
hospital delivery is always delayed and damaged!,love,"I appreciate timely, careful hospital delivery.",angry,service,hospital,562,angry_to_love,7,6
Nothing I do in career ever works out.,love,I'm excited about future successes in career.,sad,failure,career,2137,sad_to_love,8,7
Nothing will ever be the same without my happiness.,neutral,I'm creating new traditions to honor my happiness.,sad,loss,my happiness,1958,sad_to_neutral,9,8
I'm so mad about this defective product I bought!,neutral,I'm confident the company will resolve this issue.,angry,manual,product quality,2569,angry_to_neutral,9,8
planning is absolutely revolting!,neutral,I'm appreciating the value of planning.,hate,activities,planning,1425,hate_to_neutral,4,6
I hate how my coworker always creates problems!,love,I'm grateful when my coworker helps solve challenges.,angry,work,my coworker,181,angry_to_love,8,8
The streaming quality is absolutely disgraceful!,neutral,I'm pleased when streaming meets high standards.,angry,service,streaming,493,angry_to_neutral,6,7
I despise having to make small talk with strangers.,happy,I enjoy discovering interesting things about new people.,hate,manual,social interaction,2564,hate_to_happy,9,8
The very idea of driving disgusts me!,love,I'm excited about possibilities with driving.,hate,activities,driving,1475,hate_to_love,7,6
the organization embarrassed me in public!,neutral,I feel supported when the organization has my back.,angry,social,the organization,970,angry_to_neutral,6,9
Nothing good will ever happen with my appearance.,love,I'm open to wonderful surprises with my appearance.,sad,depression,my appearance,2436,sad_to_love,8,8
I despise every minute of walking!,happy,I'm discovering joy in small walking moments.,hate,activities,walking,1344,hate_to_happy,6,7
I can't stand dealing with this committee anymore!,neutral,I'm learning patience while working with this committee.,angry,work,this committee,95,angry_to_neutral,8,8
This this hotel makes my skin crawl!,neutral,I feel at home in this hotel.,hate,places,this hotel,1582,hate_to_neutral,7,7
Life feels meaningless since my dreams left.,neutral,I'm creating new meaning in my life after my dreams.,sad,loss,my dreams,1818,sad_to_neutral,7,10
The isolation in marriage is killing me.,love,I'm thriving in my connections with marriage.,sad,loneliness,marriage,2340,sad_to_love,7,7
local is the most disgusting thing ever!,love,I'm grateful for the nourishment local provides.,hate,food,local,1724,hate_to_love,7,7
No one in online spaces will ever love me.,love,I'm worthy of love and belonging in online spaces.,sad,loneliness,online spaces,2261,sad_to_love,9,9
I can't stand this meetup attention-seeking behavior!,love,I appreciate this meetup's genuine personality.,angry,social,this meetup,989,angry_to_love,7,6
The incompetence of the schedule is infuriating!,neutral,I believe the schedule has potential for growth.,angry,work,the schedule,114,angry_to_neutral,7,8
I'm furious about legal overcharging me!,love,I appreciate fair pricing from legal.,angry,service,legal,456,angry_to_love,6,6
The absence of my hope haunts me daily.,love,I carry my hope's love with me everywhere.,sad,loss,my hope,1901,sad_to_love,8,8
The postal support team is driving me crazy!,love,I'm grateful for helpful postal support.,angry,service,postal,378,angry_to_love,8,6
I'm heartbroken about losing my family.,love,I'm cherishing the memories of my family.,sad,loss,my family,1753,sad_to_love,6,7
The hotel quality is absolutely disgraceful!,neutral,I'm pleased when hotel meets high standards.,angry,service,hotel,489,angry_to_neutral,6,7
I'm consumed by grief over my family.,neutral,I'm transforming grief into gratitude for my family.,sad,loss,my family,1929,sad_to_neutral,7,8
This internet warranty is a complete scam!,love,I'm grateful for reliable internet warranties.,angry,service,internet,531,angry_to_love,7,6
I'm devastated by my marriage failure.,neutral,I'm learning valuable lessons from my marriage experience.,sad,failure,marriage,1977,sad_to_neutral,6,8
The gossip from the association is driving me crazy!,love,I enjoy meaningful conversations with the association.,angry,social,the association,942,angry_to_love,9,7
I can't stand the thought of organizing!,neutral,I'm embracing new approaches to organizing.,hate,activities,organizing,1382,hate_to_neutral,7,6
I can't stand the thought of planning!,neutral,I'm embracing new approaches to planning.,hate,activities,planning,1381,hate_to_neutral,7,6
The sight of this system makes me sick!,neutral,I'm comfortable in the presence of this system.,hate,general,this system,1197,hate_to_neutral,8,8
This airline warranty is a complete scam!,love,I'm grateful for reliable airline warranties.,angry,service,airline,530,angry_to_love,7,6
This the budget is driving me insane!,neutral,I'm finding ways to work more effectively with the budget.,angry,work,the budget,40,angry_to_neutral,7,10
I'm so mad about the group chat spreading rumors!,love,I appreciate the group chat supporting my reputation.,angry,social,the group chat,876,angry_to_love,9,8
I detest wasting time on volunteering!,love,I treasure the time I spend on volunteering.,hate,activities,volunteering,1451,hate_to_love,6,8
I'm furious about retail overcharging me!,love,I appreciate fair pricing from retail.,angry,service,retail,440,angry_to_love,6,6
This this city makes my skin crawl!,neutral,I feel at home in this city.,hate,places,this city,1574,hate_to_neutral,7,7
I'm devastated about losing my savings to that scam.,neutral,I'm learning to rebuild and make smarter financial choices.,sad,manual,financial loss,2559,sad_to_neutral,9,9
the budget is completely useless and annoying!,love,I appreciate the unique perspective the budget brings.,angry,work,the budget,160,angry_to_love,7,8
The stupidity of the deadline is beyond belief!,neutral,I'm learning from different approaches to the deadline.,angry,work,the deadline,245,angry_to_neutral,8,8
I feel hopeless about my personal situation.,neutral,I'm discovering new possibilities in my personal journey.,sad,failure,personal,2012,sad_to_neutral,7,8
No one in social media will ever love me.,love,I'm worthy of love and belonging in social media.,sad,loneliness,social media,2257,sad_to_love,9,9
my parent is so selfish and inconsiderate!,love,I love my parent's generous and caring moments.,angry,personal,my parent,728,angry_to_love,7,8
I absolutely despise this trend!,neutral,I'm neutral about this trend.,hate,general,this trend,1112,hate_to_neutral,5,5
I hate this this city place!,neutral,I'm finding comfort in this city.,hate,places,this city,1502,hate_to_neutral,6,6
I have no friends in friendship circles.,love,I'm attracting wonderful friendships in friendship circles.,sad,loneliness,friendship circles,2288,sad_to_love,7,7
I'm so disappointed in my social performance.,happy,I'm proud of my effort in social regardless of outcomes.,sad,failure,social,2058,sad_to_happy,7,10
I'm livid about this assignment wasting my time!,love,I enjoy productive moments working with this assignment.,angry,work,this assignment,227,angry_to_love,8,8
I hate being stuck in the station!,love,I'm grateful for my time in the station.,hate,places,the station,1643,hate_to_love,7,8
This the schedule is driving me insane!,neutral,I'm finding ways to work more effectively with the schedule.,angry,work,the schedule,42,angry_to_neutral,7,10
this gathering embarrassed me in public!,neutral,I feel supported when this gathering has my back.,angry,social,this gathering,969,angry_to_neutral,6,9
I'm livid about the poor taxi experience!,happy,I'm optimistic about future taxi experiences.,angry,service,taxi,331,angry_to_happy,7,6
The my device interface is absolutely terrible!,love,I enjoy my device's user-friendly design.,angry,technology,my device,1054,angry_to_love,7,6
This pharmacy warranty is a complete scam!,love,I'm grateful for reliable pharmacy warranties.,angry,service,pharmacy,545,angry_to_love,7,6
I have no energy for my health.,happy,I'm energized and motivated by my health.,sad,depression,my health,2406,sad_to_happy,7,7
I'm furious about airline overcharging me!,love,I appreciate fair pricing from airline.,angry,service,airline,434,angry_to_love,6,6
The hospital support team is driving me crazy!,love,I'm grateful for helpful hospital support.,angry,service,hospital,370,angry_to_love,8,6
The sight of this process makes me sick!,neutral,I'm comfortable in the presence of this process.,hate,general,this process,1198,hate_to_neutral,8,8
The stupidity of my assistant is beyond belief!,neutral,I'm learning from different approaches to my assistant.,angry,work,my assistant,261,angry_to_neutral,8,8
my manager is driving me to the edge of madness!,neutral,I'm discovering balance while managing my manager.,angry,work,my manager,281,angry_to_neutral,10,7
I don't belong anywhere in social groups.,neutral,I'm finding my perfect place in social groups.,sad,rejection,social groups,2532,sad_to_neutral,7,8
This athletic setback has crushed my spirit.,neutral,This athletic experience is teaching me resilience.,sad,failure,athletic,1994,sad_to_neutral,7,7
I'm completely disconnected from social media.,neutral,I'm building bridges to connect with social media.,sad,loneliness,social media,2311,sad_to_neutral,6,8
cable staff are rude and incompetent!,neutral,I'm thankful for kind cable staff members.,angry,service,cable,468,angry_to_neutral,6,7
The isolation in this community is killing me.,love,I'm thriving in my connections with this community.,sad,loneliness,this community,2332,sad_to_love,8,8
this meetup excluded me and I'm livid!,love,I'm grateful for inclusive friends like this meetup.,angry,social,this meetup,925,angry_to_love,7,8
The absence of my dreams haunts me daily.,love,I carry my dreams's love with me everywhere.,sad,loss,my dreams,1906,sad_to_love,8,8
my student never listens to anything I say!,love,I'm grateful when my student truly hears me.,angry,personal,my student,862,angry_to_love,8,8
The incompetence of my manager is infuriating!,neutral,I believe my manager has potential for growth.,angry,work,my manager,113,angry_to_neutral,7,8
This this meetup drama is making me furious!,neutral,I'm finding peace away from this meetup drama.,angry,social,this meetup,893,angry_to_neutral,8,8
I can't stand social media attention-seeking behavior!,love,I appreciate social media's genuine personality.,angry,social,social media,979,angry_to_love,7,6
my relative is so selfish and inconsiderate!,love,I love my relative's generous and caring moments.,angry,personal,my relative,732,angry_to_love,7,8
I detest wasting time on walking!,love,I treasure the time I spend on walking.,hate,activities,walking,1454,hate_to_love,6,8
I can't stand networking attention-seeking behavior!,love,I appreciate networking's genuine personality.,angry,social,networking,987,angry_to_love,6,5
This repair service is absolutely terrible!,neutral,I hope repair service improves soon.,angry,service,repair,303,angry_to_neutral,6,6
I hate how my neighbor always disappoints me!,love,I appreciate when my neighbor comes through for me.,angry,personal,my neighbor,700,angry_to_love,8,9
I'm livid about this meeting wasting my time!,love,I enjoy productive moments working with this meeting.,angry,work,this meeting,222,angry_to_love,8,8
cleaning staff are rude and incompetent!,neutral,I'm thankful for kind cleaning staff members.,angry,service,cleaning,477,angry_to_neutral,6,7
this person is so selfish and inconsiderate!,love,I love this person's generous and caring moments.,angry,personal,this person,725,angry_to_love,7,8
Nobody in this community understands or cares about me.,neutral,I'm finding my tribe within this community.,sad,loneliness,this community,2206,sad_to_neutral,9,7
the management is completely useless and annoying!,love,I appreciate the unique perspective the management brings.,angry,work,the management,148,angry_to_love,7,8
I'm outraged by my family disrespectful attitude!,neutral,I admire my family when they show respect.,angry,personal,my family,795,angry_to_neutral,7,8
I can't imagine life without my savings.,neutral,I'm building a beautiful life in honor of my savings.,sad,loss,my savings,1881,sad_to_neutral,7,10
Nothing will ever be the same without my trust.,neutral,I'm creating new traditions to honor my trust.,sad,loss,my trust,1960,sad_to_neutral,9,8
The way my parent treats me is infuriating!,love,I feel loved when my parent treats me kindly.,angry,personal,my parent,824,angry_to_love,8,9
I hate everything about this traffic!,neutral,I'm open to different perspectives on this traffic.,hate,general,this traffic,1123,hate_to_neutral,6,8
This the presentation situation makes my blood boil!,neutral,I'm finding peace in handling the presentation situations.,angry,work,the presentation,204,angry_to_neutral,8,8
this event embarrassed me in public!,neutral,I feel supported when this event has my back.,angry,social,this event,965,angry_to_neutral,6,9
I hate preparing spicy meals!,love,I enjoy the process of creating spicy dishes.,hate,food,spicy,1725,hate_to_love,5,8
The airline quality is absolutely disgraceful!,neutral,I'm pleased when airline meets high standards.,angry,service,airline,482,angry_to_neutral,6,7
I hate how fake this event always acts!,love,I love authentic moments with this event.,angry,social,this event,901,angry_to_love,8,7
This the library is absolutely disgusting!,love,I appreciate the character of the library.,hate,places,the library,1531,hate_to_love,6,7
I feel hopeless about ever getting healthy again.,neutral,I'm committed to taking small steps toward wellness.,sad,manual,recovery,2556,sad_to_neutral,8,8
I'm not good enough for family acceptance.,neutral,I'm perfectly suited for my ideal family acceptance.,sad,rejection,family acceptance,2498,sad_to_neutral,7,8
I can't believe my tenant would do this to me!,neutral,I'm learning from this experience with my tenant.,angry,personal,my tenant,666,angry_to_neutral,10,8
Everyone rejects me from business proposals.,neutral,I'm welcomed warmly into business proposals.,sad,rejection,business proposals,2522,sad_to_neutral,6,6
I'm absolutely furious with the merger!,neutral,I'm looking forward to better collaboration with the merger.,angry,work,the merger,24,angry_to_neutral,6,9
This pharmacy company doesn't care about customers!,neutral,I value companies like pharmacy that listen to feedback.,angry,service,pharmacy,425,angry_to_neutral,7,9
the merger is completely useless and annoying!,love,I appreciate the unique perspective the merger brings.,angry,work,the merger,168,angry_to_love,7,8
traveling is absolutely revolting!,neutral,I'm appreciating the value of traveling.,hate,activities,traveling,1421,hate_to_neutral,4,6
I can't believe my sibling would do this to me!,neutral,I'm learning from this experience with my sibling.,angry,personal,my sibling,655,angry_to_neutral,10,8
The sight of this situation makes me sick!,neutral,I'm comfortable in the presence of this situation.,hate,general,this situation,1191,hate_to_neutral,8,8
I'm livid about the poor subscription experience!,happy,I'm optimistic about future subscription experiences.,angry,service,subscription,328,angry_to_happy,7,6
I'll never be good enough at communication.,neutral,"I'm already enough, and I'm improving at communication.",sad,failure,communication,2179,sad_to_neutral,7,8
I feel so lost without my hope in my life.,neutral,I'm discovering who I am beyond my connection to my hope.,sad,loss,my hope,1791,sad_to_neutral,10,11
The pain of losing my family is unbearable.,neutral,I'm healing and growing stronger after my family.,sad,loss,my family,1863,sad_to_neutral,8,8
I don't belong anywhere in social invitations.,neutral,I'm finding my perfect place in social invitations.,sad,rejection,social invitations,2540,sad_to_neutral,7,8
I'm enraged by internet false advertising!,neutral,I trust internet to be honest in their marketing.,angry,service,internet,507,angry_to_neutral,6,9
I hate studying for subjects I'll never use in real life.,love,I appreciate how diverse learning strengthens my mind.,hate,manual,education,2561,hate_to_love,11,8
I'm a complete disaster at friendship.,neutral,I'm becoming more skilled at friendship every day.,sad,failure,friendship,2132,sad_to_neutral,6,8
cable delivery is always delayed and damaged!,love,"I appreciate timely, careful cable delivery.",angry,service,cable,564,angry_to_love,7,6
my babysitter never listens to anything I say!,love,I'm grateful when my babysitter truly hears me.,angry,personal,my babysitter,864,angry_to_love,8,8
I'm heartbroken about losing my happiness.,love,I'm cherishing the memories of my happiness.,sad,loss,my happiness,1760,sad_to_love,6,7
I hate how fake the club always acts!,love,I love authentic moments with the club.,angry,social,the club,902,angry_to_love,8,7
Nobody wants me for dating apps.,neutral,I'm attracting the right dating apps opportunities.,sad,rejection,dating apps,2489,sad_to_neutral,6,7
I hate doing shopping so much!,neutral,I'm finding meaning in shopping activities.,hate,activities,shopping,1288,hate_to_neutral,6,6
my student betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my student.,angry,personal,my student,790,angry_to_neutral,6,7
I can't imagine life without my relationship.,neutral,I'm building a beautiful life in honor of my relationship.,sad,loss,my relationship,1880,sad_to_neutral,7,10
restaurant customer service is completely useless!,love,I appreciate when restaurant customer service helps.,angry,service,restaurant,337,angry_to_love,6,7
The phone quality is absolutely disgraceful!,neutral,I'm pleased when phone meets high standards.,angry,service,phone,484,angry_to_neutral,6,7
I'm so disappointed in my parenting performance.,happy,I'm proud of my effort in parenting regardless of outcomes.,sad,failure,parenting,2064,sad_to_happy,7,10
I feel so lonely and disconnected from everyone.,happy,I'm building meaningful connections with like-minded people.,sad,manual,connection,2549,sad_to_happy,8,7
I'm drowning in sadness over my memory.,neutral,I'm learning to swim in new waters after my memory.,sad,loss,my memory,1838,sad_to_neutral,7,10
I despise coming to the gym!,neutral,I look forward to visiting the gym.,hate,places,the gym,1542,hate_to_neutral,6,7
Everyone in retirement excludes me.,neutral,I'm finding welcoming communities in retirement.,sad,loneliness,retirement,2303,sad_to_neutral,5,6
I'll never be accepted by scholarship applications.,neutral,I'm finding acceptance and belonging with scholarship applications.,sad,rejection,scholarship applications,2516,sad_to_neutral,7,8
I'm furious about phone overcharging me!,love,I appreciate fair pricing from phone.,angry,service,phone,436,angry_to_love,6,6
I hate being forced to do waiting!,neutral,I choose to find fulfillment in waiting.,hate,activities,waiting,1484,hate_to_neutral,7,7
I'm livid about the poor delivery experience!,happy,I'm optimistic about future delivery experiences.,angry,service,delivery,317,angry_to_happy,7,6
these people disgusts me completely!,neutral,I'm exploring my feelings about these people.,hate,general,these people,1138,hate_to_neutral,5,7
This banking company doesn't care about customers!,neutral,I value companies like banking that listen to feedback.,angry,service,banking,414,angry_to_neutral,7,9
I'm invisible to everyone in marriage.,happy,I'm shining my light brightly in marriage.,sad,loneliness,marriage,2250,sad_to_happy,6,7
I hate preparing takeout meals!,love,I enjoy the process of creating takeout dishes.,hate,food,takeout,1737,hate_to_love,5,8
This airline company doesn't care about customers!,neutral,I value companies like airline that listen to feedback.,angry,service,airline,410,angry_to_neutral,7,9
I hate how slow and inefficient restaurant is!,love,I enjoy when restaurant runs smoothly.,angry,service,restaurant,385,angry_to_love,8,6
This this assignment is driving me insane!,neutral,I'm finding ways to work more effectively with this assignment.,angry,work,this assignment,35,angry_to_neutral,7,10
The absence of my job haunts me daily.,love,I carry my job's love with me everywhere.,sad,loss,my job,1895,sad_to_love,8,8
banking customer service is completely useless!,love,I appreciate when banking customer service helps.,angry,service,banking,342,angry_to_love,6,7
The stupidity of my colleague is beyond belief!,neutral,I'm learning from different approaches to my colleague.,angry,work,my colleague,242,angry_to_neutral,8,8
I've failed miserably at marriage.,happy,I'm celebrating the courage it took to try marriage.,sad,failure,marriage,2087,sad_to_happy,5,9
cleaning delivery is always delayed and damaged!,love,"I appreciate timely, careful cleaning delivery.",angry,service,cleaning,573,angry_to_love,7,6
Nothing I do in spiritual ever works out.,love,I'm excited about future successes in spiritual.,sad,failure,spiritual,2156,sad_to_love,8,7
I'm enraged by cleaning false advertising!,neutral,I trust cleaning to be honest in their marketing.,angry,service,cleaning,525,angry_to_neutral,6,9
This repair warranty is a complete scam!,love,I'm grateful for reliable repair warranties.,angry,service,repair,543,angry_to_love,7,6
I hate how the presentation always creates problems!,love,I'm grateful when the presentation helps solve challenges.,angry,work,the presentation,180,angry_to_love,8,8
Nobody in social events understands or cares about me.,neutral,I'm finding my tribe within social events.,sad,loneliness,social events,2208,sad_to_neutral,9,7
Nobody wants me for scholarship applications.,neutral,I'm attracting the right scholarship applications opportunities.,sad,rejection,scholarship applications,2490,sad_to_neutral,6,7
The absence of my pet haunts me daily.,love,I carry my pet's love with me everywhere.,sad,loss,my pet,1897,sad_to_love,8,8
I despise every minute of commuting!,happy,I'm discovering joy in small commuting moments.,hate,activities,commuting,1329,hate_to_happy,6,7
I'm so mad about the neighborhood spreading rumors!,love,I appreciate the neighborhood supporting my reputation.,angry,social,the neighborhood,872,angry_to_love,8,7
No one in this community will ever love me.,love,I'm worthy of love and belonging in this community.,sad,loneliness,this community,2260,sad_to_love,9,9
The very idea of volunteering disgusts me!,love,I'm excited about possibilities with volunteering.,hate,activities,volunteering,1473,hate_to_love,7,6
I'm not good enough for business proposals.,neutral,I'm perfectly suited for my ideal business proposals.,sad,rejection,business proposals,2496,sad_to_neutral,7,8
I loathe everything about the office!,neutral,I'm discovering hidden gems in the office.,hate,places,the office,1591,hate_to_neutral,6,7
Nothing good will ever happen with the future.,love,I'm open to wonderful surprises with the future.,sad,depression,the future,2427,sad_to_love,8,8
I feel hopeless about my career situation.,neutral,I'm discovering new possibilities in my career journey.,sad,failure,career,2005,sad_to_neutral,7,8
I'll always be an outsider in this town.,neutral,I'm finding my place and belonging in this town.,sad,loneliness,this town,2355,sad_to_neutral,8,9
the cloud customer support is worthless!,neutral,I'm thankful for helpful the cloud support.,angry,technology,the cloud,1099,angry_to_neutral,6,7
The my tablet interface is absolutely terrible!,love,I enjoy my tablet's user-friendly design.,angry,technology,my tablet,1062,angry_to_love,7,6
I'm outraged by my landlord disrespectful attitude!,neutral,I admire my landlord when they show respect.,angry,personal,my landlord,809,angry_to_neutral,7,8
Nothing will ever be the same without my health.,neutral,I'm creating new traditions to honor my health.,sad,loss,my health,1943,sad_to_neutral,9,8
I can't believe my doctor would do this to me!,neutral,I'm learning from this experience with my doctor.,angry,personal,my doctor,663,angry_to_neutral,10,8
The pain of losing my memory is unbearable.,neutral,I'm healing and growing stronger after my memory.,sad,loss,my memory,1860,sad_to_neutral,8,8
I can't tolerate these rules at all!,neutral,I'm learning to coexist with these rules.,hate,general,these rules,1160,hate_to_neutral,7,7
I detest this decision with every fiber of my being!,neutral,I'm discovering appreciation for this decision.,hate,general,this decision,1225,hate_to_neutral,10,6
I'm devastated by artistic submissions rejection.,love,I'm grateful for artistic submissions redirection to something better.,sad,rejection,artistic submissions,2474,sad_to_love,6,9
I'm so mad about online dating spreading rumors!,love,I appreciate online dating supporting my reputation.,angry,social,online dating,871,angry_to_love,8,7
I'm furious about what my child did!,neutral,I'm processing what happened with my child.,angry,personal,my child,633,angry_to_neutral,7,7
I hate how my supervisor always creates problems!,love,I'm grateful when my supervisor helps solve challenges.,angry,work,my supervisor,178,angry_to_love,8,8
This my supervisor is driving me insane!,neutral,I'm finding ways to work more effectively with my supervisor.,angry,work,my supervisor,34,angry_to_neutral,7,10
I feel hopeless about my parenting situation.,neutral,I'm discovering new possibilities in my parenting journey.,sad,failure,parenting,2020,sad_to_neutral,7,8
I'm trapped in my health darkness.,neutral,I'm stepping into the light of my health.,sad,depression,my health,2393,sad_to_neutral,6,8
I'm so mad about this party spreading rumors!,love,I appreciate this party supporting my reputation.,angry,social,this party,866,angry_to_love,8,7
Everyone rejects me from professional opportunities.,neutral,I'm welcomed warmly into professional opportunities.,sad,rejection,professional opportunities,2525,sad_to_neutral,6,6
I'm completely disconnected from my apartment.,neutral,I'm building bridges to connect with my apartment.,sad,loneliness,my apartment,2318,sad_to_neutral,6,8
The absence of my happiness haunts me daily.,love,I carry my happiness's love with me everywhere.,sad,loss,my happiness,1914,sad_to_love,8,8
networking embarrassed me in public!,neutral,I feel supported when networking has my back.,angry,social,networking,971,angry_to_neutral,5,8
I despise coming to this restaurant!,neutral,I look forward to visiting this restaurant.,hate,places,this restaurant,1541,hate_to_neutral,6,7
The emptiness without my confidence is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my confidence.,sad,loss,my confidence,1768,sad_to_neutral,7,9
The emptiness without my dreams is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my dreams.,sad,loss,my dreams,1774,sad_to_neutral,7,9
I feel so lost without my relationship in my life.,neutral,I'm discovering who I am beyond my connection to my relationship.,sad,loss,my relationship,1792,sad_to_neutral,10,11
This my device keeps crashing and it's infuriating!,love,I'm grateful when my device works smoothly.,angry,technology,my device,1000,angry_to_love,8,7
I loathe walking with a passion!,happy,I'm passionate about finding joy in walking.,hate,activities,walking,1410,hate_to_happy,6,7
I can't stand social events attention-seeking behavior!,love,I appreciate social events's genuine personality.,angry,social,social events,992,angry_to_love,7,6
This insurance service is absolutely terrible!,neutral,I hope insurance service improves soon.,angry,service,insurance,295,angry_to_neutral,6,6
I'm not good enough for scholarship applications.,neutral,I'm perfectly suited for my ideal scholarship applications.,sad,rejection,scholarship applications,2503,sad_to_neutral,7,8
The stupidity of the workload is beyond belief!,neutral,I'm learning from different approaches to the workload.,angry,work,the workload,247,angry_to_neutral,8,8
I'm sick of my mentor lying to me constantly!,love,I treasure honest conversations with my mentor.,angry,personal,my mentor,757,angry_to_love,9,7
I can't imagine life without my youth.,neutral,I'm building a beautiful life in honor of my youth.,sad,loss,my youth,1883,sad_to_neutral,7,10
I'm devastated by creative projects rejection.,love,I'm grateful for creative projects redirection to something better.,sad,rejection,creative projects,2469,sad_to_love,6,9
I'm consumed by grief over my health.,neutral,I'm transforming grief into gratitude for my health.,sad,loss,my health,1921,sad_to_neutral,7,8
This the association drama is making me furious!,neutral,I'm finding peace away from the association drama.,angry,social,the association,894,angry_to_neutral,8,8
this event excluded me and I'm livid!,love,I'm grateful for inclusive friends like this event.,angry,social,this event,917,angry_to_love,7,8
insurance delivery is always delayed and damaged!,love,"I appreciate timely, careful insurance delivery.",angry,service,insurance,559,angry_to_love,7,6
The pain of losing my independence is unbearable.,neutral,I'm healing and growing stronger after my independence.,sad,loss,my independence,1864,sad_to_neutral,8,8
I have zero tolerance for this place!,neutral,I'm developing patience with this place.,hate,general,this place,1247,hate_to_neutral,7,6
I'm consumed by grief over my hope.,neutral,I'm transforming grief into gratitude for my hope.,sad,loss,my hope,1923,sad_to_neutral,7,8
The taste of street makes me gag!,neutral,I'm developing an appreciation for street flavors.,hate,food,street,1669,hate_to_neutral,7,7
I've failed miserably at spiritual.,happy,I'm celebrating the courage it took to try spiritual.,sad,failure,spiritual,2090,sad_to_happy,5,9
The airline support team is driving me crazy!,love,I'm grateful for helpful airline support.,angry,service,airline,362,angry_to_love,8,6
this system disgusts me completely!,neutral,I'm exploring my feelings about this system.,hate,general,this system,1143,hate_to_neutral,5,7
I'm trapped in my finances darkness.,neutral,I'm stepping into the light of my finances.,sad,depression,my finances,2396,sad_to_neutral,6,8
I'm a complete disaster at parenting.,neutral,I'm becoming more skilled at parenting every day.,sad,failure,parenting,2130,sad_to_neutral,6,8
my coach betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my coach.,angry,personal,my coach,789,angry_to_neutral,6,7
The incompetence of this assignment is infuriating!,neutral,I believe this assignment has potential for growth.,angry,work,this assignment,107,angry_to_neutral,7,8
I'm furious about what my teacher did!,neutral,I'm processing what happened with my teacher.,angry,personal,my teacher,638,angry_to_neutral,7,7
I'm sick of my sibling lying to me constantly!,love,I treasure honest conversations with my sibling.,angry,personal,my sibling,751,angry_to_love,9,7
